timestamp,seconds_in_bucket,mid_price,bid_price,ask_price,volume,volatility,liquidity,transaction_cost_bps,regime
40.0,40,148.1244,148.0528,148.196,297.96,0.045,3000.0,1.0,COMBINED_SHOCK
41.0,41,149.3339,149.2567,149.4111,235.43,0.045,3000.0,1.0,COMBINED_SHOCK
42.0,42,151.2438,151.171,151.3167,244.71,0.045,3000.0,1.0,COMBINED_SHOCK
43.0,43,151.3289,151.2597,151.3981,255.96,0.045,3000.0,1.0,COMBINED_SHOCK
44.0,44,151.3866,151.3098,151.4634,239.14,0.045,3000.0,1.0,COMBINED_SHOCK
45.0,45,150.5776,150.5055,150.6497,306.88,0.045,3000.0,1.0,COMBINED_SHOCK
46.0,46,150.2936,150.2232,150.364,285.43,0.045,3000.0,1.0,COMBINED_SHOCK
47.0,47,150.4898,150.4208,150.5588,296.61,0.045,3000.0,1.0,COMBINED_SHOCK
48.0,48,150.6488,150.5708,150.7267,267.59,0.045,3000.0,1.0,COMBINED_SHOCK
49.0,49,149.5675,149.4906,149.6445,225.16,0.045,3000.0,1.0,COMBINED_SHOCK
50.0,50,149.8233,149.747,149.8996,264.6,0.045,3000.0,1.0,COMBINED_SHOCK
51.0,51,149.2301,149.154,149.3062,262.94,0.045,3000.0,1.0,COMBINED_SHOCK
52.0,52,148.6095,148.5327,148.6863,303.68,0.045,3000.0,1.0,COMBINED_SHOCK
53.0,53,147.5821,147.5107,147.6534,271.76,0.045,3000.0,1.0,COMBINED_SHOCK
54.0,54,148.2559,148.184,148.3279,283.67,0.045,3000.0,1.0,COMBINED_SHOCK
55.0,55,149.0855,149.0074,149.1636,264.01,0.045,3000.0,1.0,COMBINED_SHOCK
56.0,56,150.7349,150.6627,150.807,246.78,0.045,3000.0,1.0,COMBINED_SHOCK
57.0,57,149.9554,149.8807,150.0301,231.95,0.045,3000.0,1.0,COMBINED_SHOCK
58.0,58,150.2504,150.1723,150.3285,259.23,0.045,3000.0,1.0,COMBINED_SHOCK
59.0,59,150.2592,150.1852,150.3332,288.7,0.045,3000.0,1.0,COMBINED_SHOCK
60.0,60,152.65,152.5782,152.7218,267.77,0.045,3000.0,1.0,COMBINED_SHOCK
61.0,61,151.7007,151.6265,151.7748,264.22,0.045,3000.0,1.0,COMBINED_SHOCK
62.0,62,152.3287,152.2539,152.4034,264.18,0.045,3000.0,1.0,COMBINED_SHOCK
63.0,63,151.5786,151.5053,151.6519,214.3,0.045,3000.0,1.0,COMBINED_SHOCK
64.0,64,152.332,152.2617,152.4024,258.4,0.045,3000.0,1.0,COMBINED_SHOCK
65.0,65,152.4828,152.4111,152.5545,263.31,0.045,3000.0,1.0,COMBINED_SHOCK
66.0,66,152.6165,152.5457,152.6872,255.7,0.045,3000.0,1.0,COMBINED_SHOCK
67.0,67,152.9314,152.8524,153.0105,269.31,0.045,3000.0,1.0,COMBINED_SHOCK
68.0,68,153.868,153.7965,153.9394,220.67,0.045,3000.0,1.0,COMBINED_SHOCK
69.0,69,154.3264,154.2495,154.4034,270.18,0.045,3000.0,1.0,COMBINED_SHOCK
70.0,70,157.8169,157.7376,157.8962,272.87,0.045,3000.0,1.0,COMBINED_SHOCK
71.0,71,158.6913,158.6175,158.7651,276.31,0.045,3000.0,1.0,COMBINED_SHOCK
72.0,72,159.3899,159.3158,159.464,240.65,0.045,3000.0,1.0,COMBINED_SHOCK
73.0,73,158.9384,158.8547,159.0221,264.47,0.045,3000.0,1.0,COMBINED_SHOCK
74.0,74,157.2209,157.152,157.2899,282.07,0.045,3000.0,1.0,COMBINED_SHOCK
75.0,75,156.7878,156.7126,156.863,294.64,0.045,3000.0,1.0,COMBINED_SHOCK
76.0,76,155.8066,155.729,155.8841,248.42,0.045,3000.0,1.0,COMBINED_SHOCK
77.0,77,155.1443,155.0691,155.2194,275.37,0.045,3000.0,1.0,COMBINED_SHOCK
78.0,78,154.5555,154.4781,154.6328,329.85,0.045,3000.0,1.0,COMBINED_SHOCK
79.0,79,152.7452,152.6727,152.8177,278.92,0.045,3000.0,1.0,COMBINED_SHOCK
80.0,80,153.5009,153.4263,153.5755,254.23,0.045,3000.0,1.0,COMBINED_SHOCK
81.0,81,153.9493,153.9258,153.9728,1008.79,0.015,10000.0,1.0,NORMAL
82.0,82,153.8493,153.8251,153.8735,892.3,0.015,10000.0,1.0,NORMAL
83.0,83,154.3759,154.3525,154.3993,983.82,0.015,10000.0,1.0,NORMAL
84.0,84,154.6503,154.624,154.6765,1157.17,0.015,10000.0,1.0,NORMAL
85.0,85,154.1956,154.169,154.2222,917.31,0.015,10000.0,1.0,NORMAL
86.0,86,153.9842,153.9582,154.0101,1016.93,0.015,10000.0,1.0,NORMAL
87.0,87,153.7077,153.6868,153.7287,977.9,0.015,10000.0,1.0,NORMAL
88.0,88,153.4028,153.3794,153.4263,969.0,0.015,10000.0,1.0,NORMAL
89.0,89,153.8882,153.8638,153.9127,861.08,0.015,10000.0,1.0,NORMAL
90.0,90,153.9269,153.9037,153.9501,1162.13,0.015,10000.0,1.0,NORMAL
91.0,91,154.2737,154.25,154.2975,1028.04,0.015,10000.0,1.0,NORMAL
92.0,92,154.4116,154.3873,154.4358,1059.19,0.015,10000.0,1.0,NORMAL
93.0,93,154.4321,154.407,154.4573,1009.86,0.015,10000.0,1.0,NORMAL
94.0,94,154.63,154.6065,154.6534,1230.91,0.015,10000.0,1.0,NORMAL
95.0,95,155.2697,155.2449,155.2945,864.94,0.015,10000.0,1.0,NORMAL
96.0,96,155.4464,155.4222,155.4707,1117.88,0.015,10000.0,1.0,NORMAL
97.0,97,155.3835,155.3592,155.4078,1045.92,0.015,10000.0,1.0,NORMAL
98.0,98,155.6391,155.6149,155.6632,1152.96,0.015,10000.0,1.0,NORMAL
99.0,99,155.9101,155.8841,155.9362,1161.12,0.015,10000.0,1.0,NORMAL
100.0,100,156.1001,156.0758,156.1244,1045.49,0.015,10000.0,1.0,NORMAL
101.0,101,156.3258,156.3009,156.3508,1224.12,0.015,10000.0,1.0,NORMAL
102.0,102,156.3611,156.3368,156.3853,1316.79,0.015,10000.0,1.0,NORMAL
103.0,103,156.5265,156.5018,156.5512,1157.8,0.015,10000.0,1.0,NORMAL
104.0,104,156.8596,156.8336,156.8856,1294.67,0.015,10000.0,1.0,NORMAL
105.0,105,157.2564,157.2305,157.2822,1212.93,0.015,10000.0,1.0,NORMAL
106.0,106,157.1616,157.1368,157.1865,1264.69,0.015,10000.0,1.0,NORMAL
107.0,107,157.1909,157.1669,157.2148,1313.5,0.015,10000.0,1.0,NORMAL
108.0,108,157.8288,157.8053,157.8523,1128.38,0.015,10000.0,1.0,NORMAL
109.0,109,158.1828,158.1571,158.2086,1370.1,0.015,10000.0,1.0,NORMAL
110.0,110,158.3751,158.3513,158.399,1283.14,0.015,10000.0,1.0,NORMAL
111.0,111,158.3981,158.3719,158.4243,1211.91,0.015,10000.0,1.0,NORMAL
112.0,112,158.3527,158.3281,158.3773,1206.68,0.015,10000.0,1.0,NORMAL
113.0,113,158.4791,158.4551,158.503,1255.65,0.015,10000.0,1.0,NORMAL
114.0,114,158.5536,158.5292,158.5779,1379.12,0.015,10000.0,1.0,NORMAL
115.0,115,158.4087,158.3855,158.4319,1393.28,0.015,10000.0,1.0,NORMAL
116.0,116,157.9773,157.9525,158.002,1278.33,0.015,10000.0,1.0,NORMAL
117.0,117,158.0721,158.046,158.0982,1598.43,0.015,10000.0,1.0,NORMAL
118.0,118,158.0229,157.9991,158.0466,1405.92,0.015,10000.0,1.0,NORMAL
119.0,119,158.0169,157.9915,158.0423,1383.18,0.015,10000.0,1.0,NORMAL
